order_id,order_date,supplier_name,supplier_city,destination_city,product_category,transport_mode,distance_km,promised_delivery_days,actual_delivery_days,delay_days,shipment_cost_inr,quantity_units,disruption_cause,disruption_label,rainfall_mm,temperature_celsius,wind_speed_kmh,severity_score,weather_anomaly_score,sentiment_score,disruption_signal,composite_risk_score,delivery_reliability_score,regional_risk_index,strike_incidents_3yr,financial_stability_score,historical_disruption_count,rolling_7d_delay,rolling_14d_delay,lag1_delay,lag2_delay,transport_mode_enc,product_category_enc,supplier_city_enc,destination_city_enc,lstm_disruption_prob
ORD01836,2021-01-27,Coal India Suppliers,Ahmedabad,Bhopal,Pharmaceuticals,Road+Rail,611.7,2,9,7,57317.14,3374,Flood,1,0.0,25.8,17.6,0,0,0.0,0.0,0.298,0.756,0.372,1,0.726,0.0,7.0,7.0,0.0,0.0,3,7,0,2,0.5598284
ORD01836,2021-01-27,Coal India Suppliers,Ahmedabad,Bhopal,Pharmaceuticals,Road+Rail,587.9,2,5,3,57317.14,3374,Flood,1,0.0,25.8,17.6,0,0,0.0,0.0,0.356,0.466,0.392,0,0.808,0.0,5.0,5.0,7.0,0.0,3,7,0,2,0.5598284
ORD01836,2021-01-27,Coal India Suppliers,Ahmedabad,Bhopal,Pharmaceuticals,Road+Rail,613.9,3,6,3,57317.14,3374,Flood,1,0.0,25.8,17.6,0,0,0.0,0.0,0.435,0.75,0.379,3,0.54,0.0,4.333333333333333,4.333333333333333,3.0,7.0,3,7,0,2,0.5598284
ORD01836,2021-01-27,Coal India Suppliers,Ahmedabad,Bhopal,Pharmaceuticals,Road+Rail,608.7,2,5,3,57317.14,3374,Flood,1,0.0,25.8,17.6,0,0,0.0,0.0,0.428,0.741,0.413,4,0.556,0.0,4.0,4.0,3.0,3.0,3,7,0,2,0.5598284
ORD00493,2021-01-30,GAIL Vendors,Ahmedabad,Bhopal,FMCG,Air,480.6,2,3,1,276529.91,1116,Accident,1,0.0,26.9,17.2,0,0,0.0,0.0,0.183,0.841,0.123,0,0.766,0.0,3.4,3.4,3.0,3.0,0,4,0,2,0.5598284
ORD00493,2021-01-30,GAIL Vendors,Ahmedabad,Bhopal,FMCG,Air,497.5,2,10,8,276529.91,1116,Accident,1,0.0,26.9,17.2,0,0,0.0,0.0,0.29,0.8,0.363,1,0.768,0.0,4.166666666666667,4.166666666666667,1.0,3.0,0,4,0,2,0.5598284
ORD00493,2021-01-30,GAIL Vendors,Ahmedabad,Bhopal,FMCG,Air,480.7,2,3,1,276529.91,1116,Accident,1,0.0,26.9,17.2,0,0,0.0,0.0,0.387,0.578,0.242,3,0.595,0.0,3.7142857142857144,3.7142857142857144,8.0,1.0,0,4,0,2,0.5598284
ORD00493,2021-01-30,GAIL Vendors,Ahmedabad,Bhopal,FMCG,Air,507.3,2,10,8,276529.91,1116,Accident,1,0.0,26.9,17.2,0,0,0.0,0.0,0.401,0.404,0.452,4,0.851,0.0,3.857142857142857,4.25,1.0,8.0,0,4,0,2,0.5598284
ORD00115,2021-02-03,Reliance Logistics,Ahmedabad,Kolkata,Industrial Machinery,Air,1591.7,3,9,6,274510.6,2948,Political Unrest,1,0.0,31.6,11.0,0,0,0.0,0.0,0.202,0.924,0.169,0,0.66,0.0,4.285714285714286,4.444444444444445,8.0,1.0,0,6,0,9,0.5598284
ORD00115,2021-02-03,Reliance Logistics,Ahmedabad,Kolkata,Industrial Machinery,Air,1553.2,3,9,6,274510.6,2948,Political Unrest,1,0.0,31.6,11.0,0,0,0.0,0.0,0.355,0.684,0.374,0,0.531,0.0,4.714285714285714,4.6,6.0,8.0,0,6,0,9,0.5598284
